gender,age,height,weight,region,hukou,education,health,appearance,iq,family_bg,assets,income
男,33.2,172.4,93.5,三线城市,三线户籍,8.8,良好,57.0,100.9,工薪,26.49,11535597.86
女,32.2,159.2,59.7,一线城市,三线户籍,4.9,良好,56.9,92.6,困难,6.01,16002662797.94
女,34.4,156.9,62.0,农村地区,农村户籍,4.7,良好,33.2,81.7,工薪,5.46,363619263390.33
女,35.5,166.5,55.2,三线城市,三线户籍,5.7,优秀,64.9,98.0,中产,13.69,1256467757.9
女,24.4,163.9,60.3,一线城市,二线户籍,6.5,一般,28.6,126.6,工薪,8.41,10123552874.64
男,26.2,173.5,64.9,三线城市,三线户籍,7.1,良好,38.3,78.9,困难,5.14,386747.96
男,24.5,170.2,70.0,二线城市,二线户籍,6.4,一般,79.1,111.6,中产,22.0,7950378.23
女,30.8,161.1,55.1,二线城市,三线户籍,4.6,良好,60.4,107.5,困难,69.5,47915662003.48
男,18.4,171.3,79.8,一线城市,农村户籍,8.5,较差,57.6,79.7,工薪,42.06,0.04
女,22.8,164.8,50.4,农村地区,二线户籍,7.7,良好,40.2,127.5,中产,50.17,29978.73
女,18.0,161.4,57.2,农村地区,农村户籍,4.2,良好,58.4,99.2,工薪,16.63,67220102.38
女,21.5,157.7,60.0,三线城市,三线户籍,6.1,优秀,61.8,107.7,工薪,28.62,42.67
女,31.4,160.6,67.4,一线城市,农村户籍,9.4,良好,75.4,102.5,工薪,3.58,221694.51
男,20.5,178.4,52.4,二线城市,三线户籍,1.4,一般,56.0,110.8,困难,73.91,6858146.71
男,27.7,171.9,78.0,二线城市,一线户籍,2.3,优秀,59.9,106.0,中产,46.86,1.8
男,25.9,174.2,60.6,二线城市,一线户籍,3.9,优秀,59.1,114.3,中产,3.73,505200104.44
男,30.5,163.4,68.1,一线城市,农村户籍,0.8,较差,58.5,100.6,富裕,22.59,557289519646.46
男,25.8,175.7,77.6,二线城市,农村户籍,5.1,优秀,55.9,70.0,中产,1.98,2822778147017.53
女,22.2,160.1,62.7,二线城市,一线户籍,6.7,良好,82.9,70.0,中产,4.61,385.52
男,29.9,182.1,78.8,二线城市,二线户籍,10.0,优秀,61.2,87.1,中产,75.77,715935356.65
女,30.2,150.4,62.5,二线城市,二线户籍,6.8,优秀,54.6,96.4,中产,7.03,6248.34
女,32.2,160.2,48.4,二线城市,三线户籍,6.4,较差,56.4,86.4,工薪,6.1,6237917678.44
女,25.5,164.7,48.9,三线城市,二线户籍,4.0,良好,64.2,70.0,中产,7.03,152182.54
男,23.1,168.1,70.5,三线城市,三线户籍,5.5,良好,75.1,91.3,工薪,33.21,40.57
男,33.9,173.0,70.9,二线城市,二线户籍,10.0,一般,58.2,101.7,工薪,5.97,1173533575.9
女,39.6,164.4,52.4,三线城市,三线户籍,5.5,优秀,29.4,84.9,困难,1.29,97232.97
男,22.9,177.4,71.0,三线城市,三线户籍,7.2,良好,62.5,108.5,困难,4.26,59651.3
女,36.6,157.7,48.2,二线城市,农村户籍,4.4,优秀,61.1,92.8,困难,21.65,91937637.59
男,26.6,179.7,65.6,三线城市,二线户籍,5.1,良好,74.5,114.6,中产,64.27,78473709788.53
女,35.2,151.1,67.0,一线城市,农村户籍,6.4,较差,64.2,83.1,工薪,229.27,11901938.21
女,32.0,161.1,58.5,农村地区,三线户籍,3.7,优秀,39.9,128.3,困难,15.19,8894595.7
女,18.0,160.3,63.8,三线城市,农村户籍,10.0,良好,57.6,93.6,中产,3.62,0.21
女,21.0,152.5,52.9,二线城市,三线户籍,6.1,良好,59.9,80.2,富裕,31.99,678650.17
女,50.6,158.7,46.1,二线城市,二线户籍,6.6,优秀,60.2,99.6,工薪,15.45,771734.52
女,18.0,166.9,40.0,农村地区,三线户籍,3.4,优秀,42.3,103.1,工薪,17.25,255706.94
男,35.8,177.6,82.7,一线城市,二线户籍,3.7,一般,52.1,107.3,困难,2.81,4082536411.63
女,24.7,168.2,46.9,二线城市,三线户籍,4.2,优秀,35.0,126.5,工薪,2.75,931.64
男,31.7,159.5,87.0,农村地区,农村户籍,6.3,良好,51.8,106.0,富裕,11.64,202300250658.98
男,25.0,184.9,76.7,三线城市,三线户籍,5.5,一般,40.7,101.5,中产,1.72,814949375.31
男,43.3,173.5,79.8,二线城市,农村户籍,9.0,优秀,32.4,80.8,工薪,5.76,4243548.99
男,40.7,162.9,62.0,农村地区,农村户籍,4.3,优秀,68.6,73.7,富裕,148.05,155509.74
男,50.5,168.5,71.2,三线城市,三线户籍,6.3,优秀,77.2,89.5,困难,11.68,160290090690306.22
女,18.0,154.6,62.4,三线城市,农村户籍,9.4,良好,40.2,96.6,工薪,43.71,10810805.37
女,33.4,159.6,41.7,农村地区,农村户籍,7.0,较差,64.1,80.8,工薪,3.33,122518580542.72
女,18.8,157.7,62.1,二线城市,三线户籍,7.8,一般,44.4,119.2,中产,8.91,12608064.52
女,30.7,161.3,62.1,农村地区,农村户籍,9.2,一般,52.2,121.1,工薪,192.23,86821.92
男,27.6,166.8,77.9,三线城市,二线户籍,4.5,较差,44.9,84.2,工薪,1.2,18.65
男,29.6,177.9,67.9,三线城市,三线户籍,8.2,优秀,43.2,105.7,中产,14.88,449889538.27
男,26.0,175.3,63.8,二线城市,农村户籍,6.1,优秀,54.4,82.4,中产,31.66,116984745754.32
女,25.1,167.7,69.4,一线城市,三线户籍,5.5,良好,64.3,105.0,中产,26.85,1756404800330985.0
女,35.6,155.8,54.9,二线城市,三线户籍,3.8,良好,7.8,86.9,中产,51.77,101072689.12
女,36.6,163.0,63.9,二线城市,农村户籍,7.8,一般,76.0,117.5,富裕,63.98,2146488044.6
女,24.5,158.1,48.3,二线城市,三线户籍,7.7,较差,66.3,106.0,工薪,9.29,3382573.99
男,27.5,175.9,91.6,三线城市,农村户籍,7.0,优秀,63.7,123.7,困难,10.87,53234394.45
女,27.1,159.1,51.8,农村地区,农村户籍,6.9,较差,32.9,114.5,工薪,6.85,11734302.8
男,25.6,181.4,69.3,三线城市,二线户籍,10.0,优秀,38.3,70.0,工薪,20.66,21578.61
女,29.1,158.9,45.8,二线城市,二线户籍,8.1,优秀,41.6,124.9,工薪,35.78,414292.83
男,32.7,171.5,81.2,一线城市,一线户籍,7.6,较差,68.5,106.7,工薪,26.34,1935768074397.13
女,33.0,154.8,54.6,三线城市,二线户籍,4.6,一般,39.6,95.3,中产,5.01,2833744.91
男,18.0,169.3,45.8,二线城市,农村户籍,8.4,优秀,71.8,106.4,工薪,3.82,2028660.82
女,23.0,162.6,69.3,一线城市,三线户籍,6.6,良好,56.0,98.7,困难,9.83,2167.28
男,30.5,180.4,79.2,二线城市,农村户籍,4.9,优秀,70.5,105.9,困难,35.67,1874706623.8
女,33.2,159.0,65.5,三线城市,三线户籍,10.0,良好,54.5,103.1,工薪,3.53,16432.52
女,34.9,160.2,56.0,三线城市,三线户籍,3.9,良好,56.1,75.0,中产,19.67,2114236089.13
女,29.2,152.2,71.0,二线城市,三线户籍,10.0,良好,35.5,91.4,工薪,31.84,19633464.57
男,25.6,175.0,72.6,二线城市,三线户籍,4.8,良好,59.6,117.6,工薪,23.39,80326.65
男,36.5,174.2,69.1,一线城市,二线户籍,3.4,良好,76.6,89.4,中产,1.88,214494.7
女,42.0,152.2,51.6,农村地区,农村户籍,8.6,良好,54.8,94.8,困难,8.28,3416796583723137.5
男,30.4,170.0,64.5,三线城市,一线户籍,4.8,优秀,58.0,84.5,困难,9.7,289568643.14
女,38.0,164.6,57.8,二线城市,三线户籍,0.0,较差,91.3,97.9,富裕,46.05,99.58
女,34.4,165.4,53.7,三线城市,一线户籍,4.2,较差,59.5,130.1,工薪,38.69,70859354.97
女,43.1,163.2,45.9,农村地区,农村户籍,3.6,良好,64.5,88.7,工薪,11.28,87541550.64
女,38.4,151.6,47.5,一线城市,三线户籍,7.9,优秀,70.8,109.5,中产,57.27,239426.26
男,22.1,181.6,61.5,三线城市,三线户籍,1.1,良好,50.4,80.2,困难,87.39,79432297612.3
女,20.7,157.7,54.8,三线城市,农村户籍,2.7,一般,81.7,72.6,困难,199.21,4610093583.32
男,30.8,176.6,72.8,二线城市,二线户籍,6.3,一般,48.7,95.8,工薪,1.6,1222738.69
男,25.2,181.1,77.7,三线城市,农村户籍,2.5,优秀,58.0,97.6,工薪,3.81,808242764.46
男,31.8,171.9,75.5,农村地区,农村户籍,9.9,优秀,61.9,93.6,中产,14.11,748049933.98
女,27.8,165.7,52.6,二线城市,三线户籍,8.4,优秀,71.2,89.5,工薪,31.93,12034.33
男,35.1,164.9,73.1,三线城市,三线户籍,7.5,优秀,57.2,98.1,中产,12.84,751615.36
女,33.3,161.6,55.0,农村地区,二线户籍,4.6,优秀,38.5,71.3,工薪,39.32,203817610527.5
女,25.3,158.1,53.4,一线城市,农村户籍,4.0,优秀,50.3,81.6,工薪,12.69,1480.7
女,20.6,162.3,71.9,一线城市,三线户籍,3.4,较差,70.4,129.2,中产,8.91,103266942073492.0
女,29.1,160.8,43.7,农村地区,二线户籍,4.2,良好,49.0,118.5,中产,45.13,1445008743.09
女,30.6,160.4,61.2,农村地区,农村户籍,9.6,一般,48.8,103.4,富裕,6.47,121663044.87
男,18.0,167.3,56.7,农村地区,三线户籍,7.8,较差,43.4,70.0,困难,19.42,2.1947070899951885e+17
男,34.5,169.4,81.7,三线城市,二线户籍,8.0,较差,52.4,96.5,工薪,2.93,95782.9
女,41.1,159.9,61.5,二线城市,一线户籍,7.9,优秀,60.2,80.3,中产,3.39,154469.66
女,18.0,162.5,55.4,二线城市,三线户籍,4.9,良好,16.7,104.4,中产,17.12,1172.84
男,31.2,170.7,84.9,三线城市,农村户籍,5.7,一般,50.8,95.5,工薪,7.65,17969064.96
男,21.6,175.0,92.9,二线城市,农村户籍,6.0,一般,58.1,114.8,工薪,6.63,26.83
男,25.6,168.5,45.0,一线城市,三线户籍,7.5,良好,37.8,102.8,困难,11.96,1072131967.48
男,39.3,164.8,69.6,三线城市,农村户籍,4.3,较差,25.5,93.3,工薪,4.26,0.0
男,35.4,168.4,88.3,三线城市,三线户籍,5.3,优秀,92.4,90.9,工薪,29.68,65197116.74
男,28.2,172.5,87.2,二线城市,二线户籍,6.7,一般,63.6,93.2,工薪,4.65,1429167536626.44
男,38.0,179.1,77.2,三线城市,农村户籍,4.6,良好,38.7,122.5,工薪,8.27,266111.28
男,36.0,180.7,88.0,二线城市,三线户籍,8.0,良好,47.2,105.4,工薪,23.76,398833.14
女,32.5,158.9,52.8,三线城市,三线户籍,8.5,一般,72.9,91.3,工薪,9.97,55162807.38
女,32.6,154.8,59.0,二线城市,三线户籍,6.6,一般,58.6,98.7,工薪,32.31,1057427742.47
女,34.5,161.2,75.8,二线城市,三线户籍,2.1,优秀,71.3,105.7,中产,57.27,2741616406.26
女,32.1,166.4,51.6,三线城市,三线户籍,3.0,优秀,70.8,121.7,工薪,6.57,49.29
男,29.0,167.3,76.5,农村地区,三线户籍,7.5,良好,46.7,93.4,工薪,28.99,78563.97
女,43.4,151.5,66.7,二线城市,三线户籍,4.6,优秀,77.5,91.4,工薪,15.14,766.92
女,38.2,170.3,64.7,一线城市,二线户籍,8.0,一般,71.7,91.7,工薪,4.56,3160546.22
女,26.5,146.1,61.4,三线城市,农村户籍,4.3,较差,47.4,98.0,工薪,21.67,3.84
男,28.2,179.3,75.8,二线城市,三线户籍,4.1,良好,54.4,116.3,富裕,116.92,16467918695802.14
男,18.0,168.8,77.7,农村地区,三线户籍,6.9,良好,75.5,97.1,中产,7.83,181671891.77
男,43.3,171.8,87.7,三线城市,三线户籍,5.4,较差,51.0,107.0,富裕,3.68,66847134.65
男,32.8,166.1,61.1,三线城市,一线户籍,5.9,良好,47.4,86.2,富裕,8.46,21115910981301.3
男,35.9,157.5,78.8,三线城市,农村户籍,5.8,优秀,61.0,107.7,工薪,1.87,16472.92
男,30.6,164.0,94.1,二线城市,农村户籍,7.4,良好,47.9,95.3,工薪,7.3,14496.32
男,31.4,174.6,76.9,二线城市,农村户籍,5.6,一般,47.6,101.3,工薪,3.37,0.0
男,24.3,182.6,59.7,三线城市,二线户籍,6.7,优秀,81.0,100.9,中产,5.6,1814248.52
男,32.6,172.7,86.2,三线城市,三线户籍,5.9,优秀,55.6,76.6,工薪,35.15,1500978.86
女,18.0,166.5,50.5,二线城市,农村户籍,7.0,良好,65.4,120.5,中产,50.69,700591986.16
女,27.3,156.8,63.2,一线城市,农村户籍,5.5,一般,45.7,106.4,工薪,144.75,75.54
女,39.2,161.3,54.6,三线城市,农村户籍,10.0,一般,42.2,96.2,富裕,12.67,226579.89
女,31.3,161.7,52.6,二线城市,三线户籍,9.8,良好,44.9,117.1,困难,59.18,1003811.42
男,25.5,175.3,61.6,三线城市,三线户籍,5.5,一般,50.1,70.0,工薪,30.46,941367617317.17
女,20.6,155.5,57.6,二线城市,农村户籍,9.5,优秀,53.0,103.0,工薪,17.11,245474.97
女,38.2,150.3,56.0,农村地区,三线户籍,3.2,良好,70.9,110.0,中产,2.84,13722829330.41
男,18.0,178.6,68.8,二线城市,农村户籍,8.6,优秀,52.0,98.6,困难,18.14,21965789.93
女,35.3,164.4,50.8,二线城市,一线户籍,5.5,良好,65.1,90.3,中产,4.08,8191826.58
女,37.6,154.7,46.5,一线城市,农村户籍,10.0,良好,58.4,97.5,中产,13.25,363404736286.09
男,35.2,173.6,76.4,三线城市,农村户籍,10.0,良好,32.8,89.7,工薪,71.44,96748.42
女,30.6,168.2,60.9,农村地区,三线户籍,2.5,一般,56.3,87.4,工薪,164.87,563060.23
女,26.5,159.5,53.5,二线城市,二线户籍,1.0,良好,56.7,70.0,富裕,20.96,13.46
男,32.6,170.1,62.5,一线城市,三线户籍,9.9,优秀,31.9,101.7,中产,10.05,2691597618.54
男,26.8,171.9,80.8,三线城市,三线户籍,4.9,良好,39.3,72.1,困难,33.04,532435.32
女,42.9,157.6,56.2,一线城市,三线户籍,8.7,一般,56.0,86.6,富裕,0.92,2461.35
男,39.8,175.1,68.3,农村地区,农村户籍,9.4,优秀,77.6,74.0,困难,15.61,6463171646.58
男,29.7,165.1,71.1,一线城市,三线户籍,6.0,良好,58.1,71.8,工薪,6.31,8272514.0
女,44.7,162.4,61.8,三线城市,农村户籍,4.6,一般,45.8,83.6,困难,8.86,5491509006489.52
男,40.4,176.8,52.5,二线城市,二线户籍,2.3,一般,75.5,116.9,中产,3.29,53737.0
男,18.7,172.3,68.4,三线城市,三线户籍,9.5,优秀,57.7,89.3,困难,46.17,23.71
男,26.2,167.1,74.2,一线城市,三线户籍,6.5,优秀,68.2,100.1,富裕,7.22,1092415.61
女,29.3,151.0,52.2,二线城市,三线户籍,7.1,优秀,63.6,113.6,工薪,1.92,1.15
女,18.0,163.2,59.0,二线城市,农村户籍,5.1,良好,48.2,90.7,中产,9.96,29117.49
女,28.4,159.1,46.1,二线城市,三线户籍,10.0,优秀,64.4,113.5,工薪,128.1,257319008871.75
女,38.7,161.3,58.7,二线城市,农村户籍,6.7,较差,64.6,94.1,中产,16.83,105670.1
男,32.0,171.9,73.9,二线城市,三线户籍,9.1,良好,38.3,87.4,工薪,26.25,2315.34
女,34.2,159.7,57.3,农村地区,三线户籍,8.1,一般,68.3,101.3,困难,9.61,720187.71
男,48.7,171.2,80.0,一线城市,二线户籍,7.0,良好,89.4,96.4,困难,38.18,198004901517.39
男,35.8,177.7,75.1,三线城市,农村户籍,7.8,一般,50.4,106.5,工薪,31.83,6169683013.73
男,18.0,167.1,69.8,农村地区,一线户籍,2.4,较差,57.1,91.8,工薪,13.85,849424.39
男,35.3,172.0,61.8,农村地区,农村户籍,8.8,良好,35.9,88.6,困难,4.84,270.69
男,30.6,162.8,68.7,农村地区,三线户籍,6.6,良好,35.2,118.0,工薪,4.37,93210529.68
女,36.5,161.0,51.1,一线城市,农村户籍,4.1,优秀,67.1,107.6,工薪,43.48,3.158409933060216e+18
男,25.0,174.0,60.5,一线城市,三线户籍,6.5,优秀,74.3,84.5,困难,4.35,252803339809.46
男,36.8,173.6,71.9,二线城市,三线户籍,6.2,良好,65.9,98.5,工薪,16.75,9627.83
男,31.5,175.1,61.8,三线城市,一线户籍,6.7,良好,44.2,115.9,困难,15.55,189694.4
男,25.6,163.3,47.0,农村地区,农村户籍,3.4,优秀,52.4,97.8,工薪,7.07,6643601617957.29
男,37.8,170.4,73.7,二线城市,三线户籍,10.0,良好,48.9,93.7,工薪,56.23,10776385404.85
男,25.6,170.0,76.0,一线城市,三线户籍,6.1,良好,60.6,85.0,富裕,29.64,19300.08
男,36.2,170.7,45.0,三线城市,三线户籍,0.5,良好,58.8,100.2,工薪,23.24,2154764.46
女,35.4,162.2,55.2,二线城市,三线户籍,8.0,优秀,54.7,91.4,中产,13.77,17447221315299.94
女,18.0,163.4,60.4,二线城市,农村户籍,4.2,良好,54.1,97.3,富裕,4.99,1130.0
女,19.9,160.1,56.8,三线城市,二线户籍,5.0,一般,54.4,95.2,工薪,56.71,863850783.22
男,35.1,165.0,78.5,一线城市,二线户籍,5.9,优秀,56.1,72.5,工薪,18.1,1609618971.0
男,46.2,162.4,71.8,三线城市,三线户籍,6.5,优秀,57.1,94.6,中产,9.81,2996556004870.6
男,30.4,174.7,73.7,三线城市,农村户籍,7.3,优秀,53.6,75.7,工薪,5.16,15721595.18
女,24.9,162.1,55.2,三线城市,二线户籍,7.7,良好,87.1,97.1,工薪,28.9,7.9
男,35.0,175.7,67.9,一线城市,三线户籍,3.3,优秀,49.6,83.7,工薪,21.4,4127901474.38
女,36.0,158.2,49.8,农村地区,农村户籍,6.0,良好,50.3,119.8,中产,66.92,8068.83
女,41.0,162.0,42.4,一线城市,一线户籍,3.4,优秀,49.3,91.0,困难,1.95,4527840.96
男,45.8,172.6,75.8,农村地区,农村户籍,2.6,一般,84.3,101.6,工薪,4.14,5.46
女,33.3,158.2,40.0,一线城市,一线户籍,3.2,较差,51.7,84.6,工薪,7.85,276799036.87
男,39.9,174.6,74.0,二线城市,一线户籍,3.8,优秀,70.2,117.9,工薪,1.44,79918526.84
男,24.1,176.1,45.0,农村地区,三线户籍,3.9,良好,44.6,88.8,中产,52.5,11968621536.94
女,36.3,157.7,58.7,一线城市,三线户籍,5.9,一般,51.0,121.3,中产,98.17,58283245677.03
女,18.0,162.8,55.8,三线城市,三线户籍,8.5,较差,74.6,112.1,困难,12.68,230.03
女,31.8,158.4,69.4,二线城市,二线户籍,7.7,良好,70.0,106.3,困难,33.34,6819.0
女,35.1,165.3,62.5,三线城市,三线户籍,6.7,优秀,24.1,98.9,困难,21.01,15563.25
男,37.1,162.9,66.4,三线城市,农村户籍,7.9,优秀,67.5,100.7,困难,12.29,4432.81
女,21.1,155.0,52.8,三线城市,三线户籍,4.0,一般,65.6,112.1,困难,5.59,7371948492.01
男,18.0,169.8,71.4,三线城市,三线户籍,7.5,优秀,44.6,79.7,工薪,1.96,222208896121.13
男,26.5,182.9,63.4,三线城市,二线户籍,6.1,良好,68.1,97.7,工薪,64.37,311990684088.46
男,32.8,166.2,60.4,三线城市,农村户籍,6.4,良好,60.5,88.6,中产,9.24,316.61
男,18.0,167.0,63.4,一线城市,一线户籍,6.2,较差,74.2,80.7,中产,13.53,171373639.36
男,19.6,182.0,83.4,二线城市,二线户籍,8.6,良好,72.2,82.8,困难,32.54,15616031833658.26
女,43.3,158.9,57.2,二线城市,三线户籍,8.3,较差,47.0,125.4,中产,12.84,253112.32
女,29.8,162.8,46.8,二线城市,三线户籍,6.1,一般,63.4,94.5,富裕,10.4,12644291866.28
女,36.5,167.8,65.3,二线城市,一线户籍,4.1,良好,65.4,108.5,工薪,5.27,541.76
女,34.0,157.1,56.9,三线城市,农村户籍,7.7,良好,61.1,111.1,富裕,21.73,13.78
男,18.0,172.9,77.7,二线城市,三线户籍,7.2,优秀,72.2,96.0,工薪,45.99,1990927851.61
男,25.6,184.0,62.3,一线城市,三线户籍,8.6,较差,54.2,99.3,中产,12.56,0.02
女,24.4,168.7,46.9,三线城市,二线户籍,5.3,优秀,68.1,84.4,中产,14.34,17006419.26
男,19.2,189.7,82.4,农村地区,二线户籍,3.2,良好,67.2,108.2,工薪,23.54,255363.18
女,18.8,165.3,40.0,三线城市,三线户籍,6.5,良好,66.3,112.7,中产,15.03,16963110.16
女,26.7,162.8,47.7,一线城市,一线户籍,5.8,优秀,74.6,113.8,困难,2.73,5662302.16
男,30.8,167.3,67.1,二线城市,二线户籍,2.7,较差,38.7,109.0,工薪,10.22,8697.01
女,45.0,152.1,40.0,农村地区,三线户籍,7.5,良好,47.0,108.0,中产,0.52,3381246.77
女,33.5,158.3,48.7,三线城市,三线户籍,4.5,优秀,52.9,80.7,工薪,10.4,19144919.4
男,41.7,187.7,58.9,农村地区,三线户籍,9.0,良好,64.2,126.4,工薪,19.04,160145279.27
男,29.3,174.0,67.0,三线城市,农村户籍,9.1,优秀,57.2,89.5,工薪,8.75,39793182405.78
男,18.0,179.2,65.1,二线城市,三线户籍,8.0,一般,50.5,82.2,工薪,5.76,516456.54
女,32.1,159.0,71.9,三线城市,二线户籍,10.0,良好,80.9,106.2,工薪,30.0,1677741114.98
女,32.4,157.8,51.2,农村地区,三线户籍,7.7,良好,63.0,104.7,中产,93.69,147254986392.14
男,25.0,166.1,79.3,三线城市,二线户籍,4.0,优秀,48.6,89.7,工薪,33.81,681859.73
男,24.7,175.1,80.3,二线城市,二线户籍,8.6,优秀,43.6,113.4,工薪,14.97,826336141.65
男,38.4,162.8,76.2,二线城市,一线户籍,7.8,优秀,70.7,111.4,富裕,3.9,5564063466983.15
女,30.8,161.7,42.5,农村地区,农村户籍,5.8,一般,70.2,95.5,困难,8.2,4930503959.91
男,39.3,167.8,71.3,一线城市,一线户籍,4.5,良好,65.5,104.7,工薪,10.84,21207.37
女,35.0,165.4,44.5,农村地区,三线户籍,9.8,良好,65.8,116.4,困难,136.28,91270682482.61
女,19.2,168.8,51.1,三线城市,二线户籍,5.1,较差,70.6,102.4,困难,9.51,888294586.99
女,25.3,163.1,62.1,农村地区,二线户籍,6.8,良好,89.3,92.4,工薪,3.42,8896099379454.33
女,33.2,153.4,61.9,三线城市,农村户籍,3.9,优秀,41.9,105.6,富裕,7.56,262032198059750.9
女,33.3,167.8,61.8,二线城市,三线户籍,7.7,优秀,60.7,108.4,困难,0.59,168371.04
女,23.5,151.3,63.9,二线城市,农村户籍,6.1,一般,74.0,103.9,中产,18.14,9665108726.52
女,32.0,164.5,49.9,农村地区,农村户籍,8.6,一般,59.5,106.8,困难,6.56,458325.16
男,24.7,168.0,68.2,三线城市,二线户籍,4.7,优秀,34.1,96.5,中产,1.58,31947.31
男,26.4,167.4,57.0,农村地区,二线户籍,7.0,优秀,68.9,91.6,工薪,7.42,308.9
男,31.9,180.1,72.8,二线城市,一线户籍,3.8,良好,42.5,100.3,中产,2.2,8087797033.87
女,43.9,159.4,49.9,二线城市,三线户籍,5.7,一般,87.5,112.2,困难,21.73,130558436.42
女,43.6,154.1,51.0,农村地区,三线户籍,6.3,良好,10.1,78.0,工薪,7.32,103026531993.59
女,45.2,158.8,52.6,二线城市,三线户籍,10.0,优秀,93.3,97.6,工薪,17.37,0.85
男,33.5,166.5,62.8,一线城市,三线户籍,5.4,一般,65.7,97.1,中产,13.21,280158119.3
男,25.8,179.1,71.9,二线城市,二线户籍,7.7,优秀,43.5,110.2,困难,19.89,150529.64
女,28.9,166.8,60.5,一线城市,二线户籍,3.5,优秀,49.3,96.1,中产,32.95,2487231.14
女,25.1,148.8,40.0,农村地区,二线户籍,7.6,优秀,18.8,92.5,中产,6.48,3498578230665.64
男,30.2,186.5,72.2,二线城市,农村户籍,8.7,优秀,50.2,100.0,富裕,13.03,19507.27
男,18.0,168.6,73.3,三线城市,二线户籍,8.4,一般,53.8,83.0,中产,7.1,942208258808.68
女,24.9,163.7,55.9,一线城市,农村户籍,6.1,良好,83.0,102.1,困难,5.24,19.16
男,37.0,181.5,79.9,农村地区,二线户籍,5.4,良好,46.7,114.3,富裕,34.86,8131014020747.24
男,26.3,167.1,57.5,三线城市,二线户籍,3.6,良好,43.6,104.5,工薪,11.4,417079252.36
女,22.4,162.3,67.2,二线城市,二线户籍,10.0,优秀,74.0,96.5,中产,47.6,51.27
男,29.5,173.4,87.1,一线城市,三线户籍,1.9,较差,71.7,75.6,中产,2.86,301528.04
女,32.1,162.7,56.6,一线城市,农村户籍,9.7,一般,71.0,104.3,中产,1.67,221.3
女,31.2,154.9,54.2,农村地区,农村户籍,4.8,较差,66.4,131.2,中产,1.5,1104263877.41
女,26.7,150.5,48.1,二线城市,农村户籍,10.0,一般,68.3,80.0,工薪,21.83,0.62
男,21.4,178.9,64.8,二线城市,三线户籍,4.9,一般,59.0,87.2,困难,53.55,1712260.01
男,31.5,160.8,66.1,二线城市,三线户籍,7.6,较差,52.4,100.5,工薪,0.62,4525.65
女,32.1,159.3,49.3,三线城市,三线户籍,4.2,一般,62.7,107.3,困难,9.4,5985.74
女,27.7,153.1,49.3,二线城市,二线户籍,4.5,优秀,86.0,87.1,困难,6.25,25238730.97
男,31.2,164.8,67.1,农村地区,农村户籍,9.0,良好,60.2,76.4,工薪,18.62,252886.08
男,24.1,173.2,86.3,三线城市,农村户籍,10.0,良好,71.6,108.3,中产,16.13,272314.74
女,48.8,163.3,51.2,二线城市,一线户籍,0.0,较差,70.1,73.5,困难,9.29,1388756.23
